operation_id,order_id,batch_id,batch_index,batch_quantity,sequence_index,machine_group_required,machine_id,operation_quantity,unit_processing_time_minutes,processing_time_minutes,setup_time_minutes,total_duration_minutes,start_minute,end_minute,start_time,end_time,scheduled_duration_minutes,active_work_minutes,was_in_progress_at_replan
ORD_006_B01_OP_02,ORD_006,ORD_006_B01,1,5,2,ASSY,M_ASSY_02,5,15,75,15,90,240,330,2026-04-20 12:00:00,2026-04-20 13:30:00,90,90,False
ORD_009_B01_OP_03,ORD_009,ORD_009_B01,1,5,3,PACK,M_PACK_01,5,5,25,0,25,240,265,2026-04-20 12:00:00,2026-04-20 12:25:00,25,25,False
ORD_001_B01_OP_03,ORD_001,ORD_001_B01,1,5,3,PAINT,M_PAINT_01,5,10,50,15,65,255,320,2026-04-20 12:15:00,2026-04-20 13:20:00,65,65,False
ORD_010_B02_OP_03,ORD_010,ORD_010_B02,2,5,3,PACK,M_PACK_01,5,5,25,0,25,265,290,2026-04-20 12:25:00,2026-04-20 12:50:00,25,25,False
ORD_001_B02_OP_01,ORD_001,ORD_001_B02,2,5,1,CUT,M_CUT_01,5,10,50,10,60,275,335,2026-04-20 12:35:00,2026-04-20 13:35:00,60,60,False
ORD_014_B01_OP_01,ORD_014,ORD_014_B01,1,5,1,CUT,M_CUT_02,5,10,50,15,65,280,345,2026-04-20 12:40:00,2026-04-20 13:45:00,65,65,False
ORD_016_B01_OP_02,ORD_016,ORD_016_B01,1,5,2,WELD,M_WELD_02,5,10,50,10,60,280,340,2026-04-20 12:40:00,2026-04-20 13:40:00,60,60,False
ORD_006_B02_OP_03,ORD_006,ORD_006_B02,2,1,3,PACK,M_PACK_01,1,5,5,0,5,290,295,2026-04-20 12:50:00,2026-04-20 12:55:00,5,5,False
ORD_008_B02_OP_04,ORD_008,ORD_008_B02,2,5,4,ASSY,M_ASSY_01,5,15,75,15,90,295,385,2026-04-20 12:55:00,2026-04-20 14:25:00,90,90,False
ORD_003_B03_OP_03,ORD_003,ORD_003_B03,3,2,3,PAINT,M_PAINT_01,2,5,10,15,25,320,345,2026-04-20 13:20:00,2026-04-20 13:45:00,25,25,False
ORD_012_B03_OP_02,ORD_012,ORD_012_B03,3,5,2,ASSY,M_ASSY_02,5,10,50,15,65,330,395,2026-04-20 13:30:00,2026-04-20 14:35:00,65,65,False
ORD_008_B01_OP_01,ORD_008,ORD_008_B01,1,5,1,CUT,M_CUT_01,5,10,50,10,60,335,395,2026-04-20 13:35:00,2026-04-20 14:35:00,60,60,False
ORD_016_B02_OP_02,ORD_016,ORD_016_B02,2,3,2,WELD,M_WELD_02,3,10,30,10,40,340,380,2026-04-20 13:40:00,2026-04-20 14:20:00,40,40,False
ORD_017_B01_OP_01,ORD_017,ORD_017_B01,1,5,1,CUT,M_CUT_02,5,10,50,10,60,345,405,2026-04-20 13:45:00,2026-04-20 14:45:00,60,60,False
ORD_013_B02_OP_02,ORD_013,ORD_013_B02,2,5,2,PAINT,M_PAINT_01,5,10,50,20,70,345,415,2026-04-20 13:45:00,2026-04-20 14:55:00,70,70,False
ORD_014_B01_OP_02,ORD_014,ORD_014_B01,1,5,2,WELD,M_WELD_01,5,10,50,20,70,345,415,2026-04-20 13:45:00,2026-04-20 14:55:00,70,70,False
ORD_001_B02_OP_02,ORD_001,ORD_001_B02,2,5,2,WELD,M_WELD_02,5,5,25,20,45,380,425,2026-04-20 14:20:00,2026-04-20 15:05:00,45,45,False
ORD_001_B01_OP_04,ORD_001,ORD_001_B01,1,5,4,ASSY,M_ASSY_01,5,5,25,15,40,385,425,2026-04-20 14:25:00,2026-04-20 15:05:00,40,40,False
ORD_008_B02_OP_05,ORD_008,ORD_008_B02,2,5,5,PACK,M_PACK_01,5,5,25,5,30,385,415,2026-04-20 14:25:00,2026-04-20 14:55:00,30,30,False
ORD_003_B03_OP_04,ORD_003,ORD_003_B03,3,2,4,ASSY,M_ASSY_02,2,5,10,10,20,395,415,2026-04-20 14:35:00,2026-04-20 14:55:00,20,20,False
ORD_015_B02_OP_01,ORD_015,ORD_015_B02,2,5,1,CUT,M_CUT_01,5,10,50,5,55,395,450,2026-04-20 14:35:00,2026-04-20 15:30:00,55,55,False
ORD_008_B03_OP_01,ORD_008,ORD_008_B03,3,2,1,CUT,M_CUT_02,2,10,20,10,30,405,435,2026-04-20 14:45:00,2026-04-20 15:15:00,30,30,False
ORD_014_B01_OP_03,ORD_014,ORD_014_B01,1,5,3,ASSY,M_ASSY_02,5,10,50,15,65,415,480,2026-04-20 14:55:00,2026-04-20 16:00:00,65,65,False
ORD_013_B02_OP_03,ORD_013,ORD_013_B02,2,5,3,ASSY,M_ASSY_01,5,10,50,5,55,425,480,2026-04-20 15:05:00,2026-04-20 16:00:00,55,55,False
ORD_001_B01_OP_05,ORD_001,ORD_001_B01,1,5,5,PACK,M_PACK_01,5,5,25,5,30,425,455,2026-04-20 15:05:00,2026-04-20 15:35:00,30,30,False
ORD_001_B02_OP_03,ORD_001,ORD_001_B02,2,5,3,PAINT,M_PAINT_01,5,10,50,15,65,425,490,2026-04-20 15:05:00,2026-04-20 16:10:00,65,65,False
ORD_017_B01_OP_02,ORD_017,ORD_017_B01,1,5,2,WELD,M_WELD_02,5,5,25,5,30,425,455,2026-04-20 15:05:00,2026-04-20 15:35:00,30,30,False
ORD_007_B03_OP_01,ORD_007,ORD_007_B03,3,2,1,CUT,M_CUT_02,2,10,20,5,25,435,460,2026-04-20 15:15:00,2026-04-20 15:40:00,25,25,False
ORD_001_B03_OP_01,ORD_001,ORD_001_B03,3,2,1,CUT,M_CUT_01,2,10,20,10,30,450,480,2026-04-20 15:30:00,2026-04-20 16:00:00,30,30,False
ORD_008_B03_OP_02,ORD_008,ORD_008_B03,3,2,2,WELD,M_WELD_02,2,5,10,10,20,455,475,2026-04-20 15:35:00,2026-04-20 15:55:00,20,20,False
ORD_017_B03_OP_01,ORD_017,ORD_017_B03,3,2,1,CUT,M_CUT_02,2,10,20,10,30,460,490,2026-04-20 15:40:00,2026-04-20 16:10:00,30,30,False
ORD_007_B03_OP_02,ORD_007,ORD_007_B03,3,2,2,WELD,M_WELD_01,2,5,10,5,15,460,475,2026-04-20 15:40:00,2026-04-20 15:55:00,15,15,False
ORD_008_B01_OP_02,ORD_008,ORD_008_B01,1,5,2,WELD,M_WELD_02,5,5,25,10,35,475,510,2026-04-20 15:55:00,2026-04-20 16:30:00,35,35,False
ORD_017_B01_OP_03,ORD_017,ORD_017_B01,1,5,3,ASSY,M_ASSY_01,5,10,50,10,60,480,540,2026-04-20 16:00:00,2026-04-20 17:00:00,60,60,False
ORD_016_B02_OP_03,ORD_016,ORD_016_B02,2,3,3,ASSY,M_ASSY_02,3,15,45,15,60,480,540,2026-04-20 16:00:00,2026-04-20 17:00:00,60,60,False
ORD_019_B02_OP_01,ORD_019,ORD_019_B02,2,5,1,CUT,M_CUT_01,5,10,50,10,60,480,540,2026-04-20 16:00:00,2026-04-20 17:00:00,60,60,False
ORD_014_B01_OP_04,ORD_014,ORD_014_B01,1,5,4,PACK,M_PACK_01,5,5,25,5,30,480,510,2026-04-20 16:00:00,2026-04-20 16:30:00,30,30,False
ORD_009_B02_OP_01,ORD_009,ORD_009_B02,2,1,1,CUT,M_CUT_02,1,10,10,10,20,490,510,2026-04-20 16:10:00,2026-04-20 16:30:00,20,20,False
ORD_008_B03_OP_03,ORD_008,ORD_008_B03,3,2,3,PAINT,M_PAINT_01,2,5,10,20,30,490,520,2026-04-20 16:10:00,2026-04-20 16:40:00,30,30,False
ORD_001_B03_OP_02,ORD_001,ORD_001_B03,3,2,2,WELD,M_WELD_02,2,5,10,20,30,510,540,2026-04-20 16:30:00,2026-04-20 17:00:00,30,30,False
ORD_016_B01_OP_03,ORD_016,ORD_016_B01,1,5,3,ASSY,M_ASSY_01,5,15,75,15,90,1440,1530,2026-04-21 08:00:00,2026-04-21 09:30:00,90,90,False
ORD_009_B02_OP_02,ORD_009,ORD_009_B02,2,1,2,ASSY,M_ASSY_02,1,10,10,15,25,1440,1465,2026-04-21 08:00:00,2026-04-21 08:25:00,25,25,False
ORD_019_B01_OP_01,ORD_019,ORD_019_B01,1,5,1,CUT,M_CUT_01,5,10,50,10,60,1440,1500,2026-04-21 08:00:00,2026-04-21 09:00:00,60,60,False
ORD_014_B02_OP_01,ORD_014,ORD_014_B02,2,5,1,CUT,M_CUT_02,5,10,50,15,65,1440,1505,2026-04-21 08:00:00,2026-04-21 09:05:00,65,65,False
ORD_012_B03_OP_03,ORD_012,ORD_012_B03,3,5,3,PACK,M_PACK_01,5,5,25,5,30,1440,1470,2026-04-21 08:00:00,2026-04-21 08:30:00,30,30,False
ORD_001_B03_OP_03,ORD_001,ORD_001_B03,3,2,3,PAINT,M_PAINT_01,2,10,20,15,35,1440,1475,2026-04-21 08:00:00,2026-04-21 08:35:00,35,35,False
ORD_013_B01_OP_01,ORD_013,ORD_013_B01,1,5,1,WELD,M_WELD_01,5,10,50,15,65,1440,1505,2026-04-21 08:00:00,2026-04-21 09:05:00,65,65,False
ORD_015_B02_OP_02,ORD_015,ORD_015_B02,2,5,2,WELD,M_WELD_02,5,10,50,15,65,1440,1505,2026-04-21 08:00:00,2026-04-21 09:05:00,65,65,False
ORD_019_B02_OP_02,ORD_019,ORD_019_B02,2,5,2,ASSY,M_ASSY_02,5,10,50,5,55,1465,1520,2026-04-21 08:25:00,2026-04-21 09:20:00,55,55,False
ORD_017_B01_OP_04,ORD_017,ORD_017_B01,1,5,4,PACK,M_PACK_01,5,5,25,0,25,1470,1495,2026-04-21 08:30:00,2026-04-21 08:55:00,25,25,False
ORD_008_B01_OP_03,ORD_008,ORD_008_B01,1,5,3,PAINT,M_PAINT_01,5,5,25,20,45,1475,1520,2026-04-21 08:35:00,2026-04-21 09:20:00,45,45,False
ORD_006_B01_OP_03,ORD_006,ORD_006_B01,1,5,3,PACK,M_PACK_01,5,5,25,0,25,1495,1520,2026-04-21 08:55:00,2026-04-21 09:20:00,25,25,False
ORD_011_B01_OP_01,ORD_011,ORD_011_B01,1,5,1,CUT,M_CUT_01,5,10,50,5,55,1500,1555,2026-04-21 09:00:00,2026-04-21 09:55:00,55,55,False
ORD_003_B02_OP_01,ORD_003,ORD_003_B02,2,5,1,CUT,M_CUT_02,5,5,25,5,30,1505,1535,2026-04-21 09:05:00,2026-04-21 09:35:00,30,30,False
ORD_014_B02_OP_02,ORD_014,ORD_014_B02,2,5,2,WELD,M_WELD_02,5,10,50,20,70,1505,1575,2026-04-21 09:05:00,2026-04-21 10:15:00,70,70,False
ORD_019_B01_OP_02,ORD_019,ORD_019_B01,1,5,2,ASSY,M_ASSY_02,5,10,50,5,55,1520,1575,2026-04-21 09:20:00,2026-04-21 10:15:00,55,55,False
ORD_016_B02_OP_04,ORD_016,ORD_016_B02,2,3,4,PACK,M_PACK_01,3,5,15,5,20,1520,1540,2026-04-21 09:20:00,2026-04-21 09:40:00,20,20,False
ORD_020_B01_OP_02,ORD_020,ORD_020_B01,1,5,2,PAINT,M_PAINT_01,5,10,50,25,75,1520,1595,2026-04-21 09:20:00,2026-04-21 10:35:00,75,75,False
ORD_008_B01_OP_04,ORD_008,ORD_008_B01,1,5,4,ASSY,M_ASSY_01,5,15,75,15,90,1530,1620,2026-04-21 09:30:00,2026-04-21 11:00:00,90,90,False
ORD_002_B03_OP_01,ORD_002,ORD_002_B03,3,5,1,CUT,M_CUT_02,5,10,50,10,60,1535,1595,2026-04-21 09:35:00,2026-04-21 10:35:00,60,60,False
ORD_003_B02_OP_02,ORD_003,ORD_003_B02,2,5,2,WELD,M_WELD_01,5,15,75,10,85,1535,1620,2026-04-21 09:35:00,2026-04-21 11:00:00,85,85,False
ORD_016_B01_OP_04,ORD_016,ORD_016_B01,1,5,4,PACK,M_PACK_01,5,5,25,5,30,1540,1570,2026-04-21 09:40:00,2026-04-21 10:10:00,30,30,False
ORD_003_B01_OP_01,ORD_003,ORD_003_B01,1,5,1,CUT,M_CUT_01,5,5,25,5,30,1555,1585,2026-04-21 09:55:00,2026-04-21 10:25:00,30,30,False
ORD_019_B02_OP_03,ORD_019,ORD_019_B02,2,5,3,PACK,M_PACK_01,5,5,25,5,30,1570,1600,2026-04-21 10:10:00,2026-04-21 10:40:00,30,30,False
ORD_014_B02_OP_03,ORD_014,ORD_014_B02,2,5,3,ASSY,M_ASSY_02,5,10,50,15,65,1575,1640,2026-04-21 10:15:00,2026-04-21 11:20:00,65,65,False
ORD_011_B01_OP_02,ORD_011,ORD_011_B01,1,5,2,WELD,M_WELD_02,5,10,50,15,65,1575,1640,2026-04-21 10:15:00,2026-04-21 11:20:00,65,65,False
ORD_011_B02_OP_01,ORD_011,ORD_011_B02,2,5,1,CUT,M_CUT_01,5,10,50,5,55,1585,1640,2026-04-21 10:25:00,2026-04-21 11:20:00,55,55,False
ORD_007_B01_OP_01,ORD_007,ORD_007_B01,1,5,1,CUT,M_CUT_02,5,10,50,5,55,1595,1650,2026-04-21 10:35:00,2026-04-21 11:30:00,55,55,False
ORD_003_B03_OP_05,ORD_003,ORD_003_B03,3,2,5,PACK,M_PACK_01,2,5,10,0,10,1600,1610,2026-04-21 10:40:00,2026-04-21 10:50:00,10,10,False
ORD_009_B02_OP_03,ORD_009,ORD_009_B02,2,1,3,PACK,M_PACK_01,1,5,5,0,5,1610,1615,2026-04-21 10:50:00,2026-04-21 10:55:00,5,5,False
ORD_019_B01_OP_03,ORD_019,ORD_019_B01,1,5,3,PACK,M_PACK_01,5,5,25,5,30,1615,1645,2026-04-21 10:55:00,2026-04-21 11:25:00,30,30,False
ORD_008_B03_OP_04,ORD_008,ORD_008_B03,3,2,4,ASSY,M_ASSY_01,2,15,30,15,45,1620,1665,2026-04-21 11:00:00,2026-04-21 11:45:00,45,45,False
ORD_003_B02_OP_03,ORD_003,ORD_003_B02,2,5,3,PAINT,M_PAINT_01,5,5,25,15,40,1620,1660,2026-04-21 11:00:00,2026-04-21 11:40:00,40,40,False
ORD_002_B03_OP_02,ORD_002,ORD_002_B03,3,5,2,WELD,M_WELD_01,5,15,75,20,95,1620,1715,2026-04-21 11:00:00,2026-04-21 12:35:00,95,95,False
ORD_011_B01_OP_03,ORD_011,ORD_011_B01,1,5,3,ASSY,M_ASSY_02,5,10,50,10,60,1640,1700,2026-04-21 11:20:00,2026-04-21 12:20:00,60,60,False
ORD_017_B02_OP_01,ORD_017,ORD_017_B02,2,5,1,CUT,M_CUT_01,5,10,50,10,60,1640,1700,2026-04-21 11:20:00,2026-04-21 12:20:00,60,60,False
ORD_017_B03_OP_02,ORD_017,ORD_017_B03,3,2,2,WELD,M_WELD_02,2,5,10,5,15,1640,1655,2026-04-21 11:20:00,2026-04-21 11:35:00,15,15,False
ORD_008_B01_OP_05,ORD_008,ORD_008_B01,1,5,5,PACK,M_PACK_01,5,5,25,5,30,1645,1675,2026-04-21 11:25:00,2026-04-21 11:55:00,30,30,False
ORD_007_B02_OP_01,ORD_007,ORD_007_B02,2,5,1,CUT,M_CUT_02,5,10,50,5,55,1650,1705,2026-04-21 11:30:00,2026-04-21 12:25:00,55,55,False
ORD_011_B02_OP_02,ORD_011,ORD_011_B02,2,5,2,WELD,M_WELD_02,5,10,50,15,65,1655,1720,2026-04-21 11:35:00,2026-04-21 12:40:00,65,65,False
ORD_013_B01_OP_02,ORD_013,ORD_013_B01,1,5,2,PAINT,M_PAINT_01,5,10,50,20,70,1660,1730,2026-04-21 11:40:00,2026-04-21 12:50:00,70,70,False
ORD_001_B02_OP_04,ORD_001,ORD_001_B02,2,5,4,ASSY,M_ASSY_01,5,5,25,15,40,1665,1705,2026-04-21 11:45:00,2026-04-21 12:25:00,40,40,False
ORD_008_B03_OP_05,ORD_008,ORD_008_B03,3,2,5,PACK,M_PACK_01,2,5,10,5,15,1675,1690,2026-04-21 11:55:00,2026-04-21 12:10:00,15,15,False
ORD_014_B02_OP_04,ORD_014,ORD_014_B02,2,5,4,PACK,M_PACK_01,5,5,25,5,30,1690,1720,2026-04-21 12:10:00,2026-04-21 12:40:00,30,30,False
ORD_003_B02_OP_04,ORD_003,ORD_003_B02,2,5,4,ASSY,M_ASSY_02,5,5,25,10,35,1700,1735,2026-04-21 12:20:00,2026-04-21 12:55:00,35,35,False
ORD_012_B01_OP_01,ORD_012,ORD_012_B01,1,5,1,CUT,M_CUT_01,5,10,50,5,55,1700,1755,2026-04-21 12:20:00,2026-04-21 13:15:00,55,55,False
ORD_017_B03_OP_03,ORD_017,ORD_017_B03,3,2,3,ASSY,M_ASSY_01,2,10,20,10,30,1705,1735,2026-04-21 12:25:00,2026-04-21 12:55:00,30,30,False
ORD_004_B03_OP_01,ORD_004,ORD_004_B03,3,5,1,CUT,M_CUT_02,5,5,25,10,35,1705,1740,2026-04-21 12:25:00,2026-04-21 13:00:00,35,35,False
ORD_007_B02_OP_02,ORD_007,ORD_007_B02,2,5,2,WELD,M_WELD_01,5,5,25,5,30,1715,1745,2026-04-21 12:35:00,2026-04-21 13:05:00,30,30,False
ORD_001_B02_OP_05,ORD_001,ORD_001_B02,2,5,5,PACK,M_PACK_01,5,5,25,5,30,1720,1750,2026-04-21 12:40:00,2026-04-21 13:10:00,30,30,False
ORD_017_B02_OP_02,ORD_017,ORD_017_B02,2,5,2,WELD,M_WELD_02,5,5,25,5,30,1720,1750,2026-04-21 12:40:00,2026-04-21 13:10:00,30,30,False
ORD_002_B03_OP_03,ORD_002,ORD_002_B03,3,5,3,PAINT,M_PAINT_01,5,5,25,25,50,1730,1780,2026-04-21 12:50:00,2026-04-21 13:40:00,50,50,False
ORD_001_B03_OP_04,ORD_001,ORD_001_B03,3,2,4,ASSY,M_ASSY_01,2,5,10,15,25,1735,1760,2026-04-21 12:55:00,2026-04-21 13:20:00,25,25,False
ORD_011_B02_OP_03,ORD_011,ORD_011_B02,2,5,3,ASSY,M_ASSY_02,5,10,50,10,60,1735,1795,2026-04-21 12:55:00,2026-04-21 13:55:00,60,60,False
ORD_004_B01_OP_01,ORD_004,ORD_004_B01,1,5,1,CUT,M_CUT_02,5,5,25,10,35,1740,1775,2026-04-21 13:00:00,2026-04-21 13:35:00,35,35,False
ORD_007_B01_OP_02,ORD_007,ORD_007_B01,1,5,2,WELD,M_WELD_01,5,5,25,5,30,1745,1775,2026-04-21 13:05:00,2026-04-21 13:35:00,30,30,False
ORD_003_B02_OP_05,ORD_003,ORD_003_B02,2,5,5,PACK,M_PACK_01,5,5,25,0,25,1750,1775,2026-04-21 13:10:00,2026-04-21 13:35:00,25,25,False
ORD_003_B01_OP_02,ORD_003,ORD_003_B01,1,5,2,WELD,M_WELD_02,5,15,75,10,85,1750,1835,2026-04-21 13:10:00,2026-04-21 14:35:00,85,85,False
ORD_015_B01_OP_01,ORD_015,ORD_015_B01,1,5,1,CUT,M_CUT_01,5,10,50,5,55,1755,1810,2026-04-21 13:15:00,2026-04-21 14:10:00,55,55,False
ORD_012_B01_OP_02,ORD_012,ORD_012_B01,1,5,2,ASSY,M_ASSY_01,5,10,50,15,65,1760,1825,2026-04-21 13:20:00,2026-04-21 14:25:00,65,65,False
ORD_002_B02_OP_01,ORD_002,ORD_002_B02,2,5,1,CUT,M_CUT_02,5,10,50,10,60,1775,1835,2026-04-21 13:35:00,2026-04-21 14:35:00,60,60,False
ORD_001_B03_OP_05,ORD_001,ORD_001_B03,3,2,5,PACK,M_PACK_01,2,5,10,5,15,1775,1790,2026-04-21 13:35:00,2026-04-21 13:50:00,15,15,False
ORD_007_B02_OP_03,ORD_007,ORD_007_B02,2,5,3,PAINT,M_PAINT_01,5,10,50,10,60,1780,1840,2026-04-21 13:40:00,2026-04-21 14:40:00,60,60,False
ORD_011_B01_OP_04,ORD_011,ORD_011_B01,1,5,4,PACK,M_PACK_01,5,5,25,0,25,1790,1815,2026-04-21 13:50:00,2026-04-21 14:15:00,25,25,False
ORD_017_B02_OP_03,ORD_017,ORD_017_B02,2,5,3,ASSY,M_ASSY_02,5,10,50,10,60,1795,1855,2026-04-21 13:55:00,2026-04-21 14:55:00,60,60,False
ORD_019_B03_OP_01,ORD_019,ORD_019_B03,3,2,1,CUT,M_CUT_01,2,10,20,10,30,1810,1840,2026-04-21 14:10:00,2026-04-21 14:40:00,30,30,False
ORD_011_B02_OP_04,ORD_011,ORD_011_B02,2,5,4,PACK,M_PACK_01,5,5,25,0,25,1815,1840,2026-04-21 14:15:00,2026-04-21 14:40:00,25,25,False
ORD_018_B01_OP_03,ORD_018,ORD_018_B01,1,5,3,ASSY,M_ASSY_01,5,10,50,15,65,1825,1890,2026-04-21 14:25:00,2026-04-21 15:30:00,65,65,False
ORD_002_B02_OP_02,ORD_002,ORD_002_B02,2,5,2,WELD,M_WELD_01,5,15,75,20,95,1835,1930,2026-04-21 14:35:00,2026-04-21 16:10:00,95,95,False
