operation_id,order_id,batch_id,batch_index,batch_quantity,sequence_index,machine_group_required,preferred_machine_id,operation_quantity,unit_processing_time_minutes,processing_time_minutes,setup_time_minutes,total_duration_minutes,release_time,deadline,promised_date,is_outsourcable
ORD_002_B02_OP_02,ORD_002,ORD_002_B02,2,5,2,WELD,M_WELD_01,5,15,75,20,95,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B02_OP_03,ORD_002,ORD_002_B02,2,5,3,PAINT,M_PAINT_01,5,5,25,25,50,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B02_OP_04,ORD_002,ORD_002_B02,2,5,4,ASSY,M_ASSY_01,5,5,25,10,35,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B02_OP_05,ORD_002,ORD_002_B02,2,5,5,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B03_OP_01,ORD_002,ORD_002_B03,3,5,1,CUT,M_CUT_02,5,10,50,10,60,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B03_OP_02,ORD_002,ORD_002_B03,3,5,2,WELD,M_WELD_01,5,15,75,20,95,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B03_OP_03,ORD_002,ORD_002_B03,3,5,3,PAINT,M_PAINT_01,5,5,25,25,50,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,True
ORD_002_B03_OP_04,ORD_002,ORD_002_B03,3,5,4,ASSY,M_ASSY_01,5,5,25,10,35,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_002_B03_OP_05,ORD_002,ORD_002_B03,3,5,5,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:05:00,2026-04-22 16:19:00,2026-04-22 16:19:00,False
ORD_003_B01_OP_01,ORD_003,ORD_003_B01,1,5,1,CUT,M_CUT_01,5,5,25,5,30,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B01_OP_02,ORD_003,ORD_003_B01,1,5,2,WELD,M_WELD_02,5,15,75,10,85,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B01_OP_03,ORD_003,ORD_003_B01,1,5,3,PAINT,M_PAINT_01,5,5,25,15,40,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B01_OP_04,ORD_003,ORD_003_B01,1,5,4,ASSY,M_ASSY_02,5,5,25,10,35,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,True
ORD_003_B01_OP_05,ORD_003,ORD_003_B01,1,5,5,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B02_OP_01,ORD_003,ORD_003_B02,2,5,1,CUT,M_CUT_01,5,5,25,5,30,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B02_OP_02,ORD_003,ORD_003_B02,2,5,2,WELD,M_WELD_02,5,15,75,10,85,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B02_OP_03,ORD_003,ORD_003_B02,2,5,3,PAINT,M_PAINT_01,5,5,25,15,40,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B02_OP_04,ORD_003,ORD_003_B02,2,5,4,ASSY,M_ASSY_02,5,5,25,10,35,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B02_OP_05,ORD_003,ORD_003_B02,2,5,5,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,True
ORD_003_B03_OP_01,ORD_003,ORD_003_B03,3,2,1,CUT,M_CUT_01,2,5,10,5,15,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B03_OP_02,ORD_003,ORD_003_B03,3,2,2,WELD,M_WELD_02,2,15,30,10,40,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B03_OP_03,ORD_003,ORD_003_B03,3,2,3,PAINT,M_PAINT_01,2,5,10,15,25,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B03_OP_04,ORD_003,ORD_003_B03,3,2,4,ASSY,M_ASSY_02,2,5,10,10,20,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_003_B03_OP_05,ORD_003,ORD_003_B03,3,2,5,PACK,M_PACK_01,2,5,10,0,10,2026-04-20 09:00:00,2026-04-22 05:58:00,2026-04-22 05:58:00,False
ORD_004_B01_OP_01,ORD_004,ORD_004_B01,1,5,1,CUT,M_CUT_02,5,5,25,10,35,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B01_OP_02,ORD_004,ORD_004_B01,1,5,2,WELD,M_WELD_02,5,10,50,15,65,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,True
ORD_004_B01_OP_03,ORD_004,ORD_004_B01,1,5,3,ASSY,M_ASSY_02,5,15,75,15,90,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B01_OP_04,ORD_004,ORD_004_B01,1,5,4,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B02_OP_01,ORD_004,ORD_004_B02,2,5,1,CUT,M_CUT_02,5,5,25,10,35,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B02_OP_02,ORD_004,ORD_004_B02,2,5,2,WELD,M_WELD_02,5,10,50,15,65,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B02_OP_03,ORD_004,ORD_004_B02,2,5,3,ASSY,M_ASSY_02,5,15,75,15,90,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B02_OP_04,ORD_004,ORD_004_B02,2,5,4,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B03_OP_01,ORD_004,ORD_004_B03,3,5,1,CUT,M_CUT_02,5,5,25,10,35,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B03_OP_02,ORD_004,ORD_004_B03,3,5,2,WELD,M_WELD_02,5,10,50,15,65,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B03_OP_03,ORD_004,ORD_004_B03,3,5,3,ASSY,M_ASSY_02,5,15,75,15,90,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,True
ORD_004_B03_OP_04,ORD_004,ORD_004_B03,3,5,4,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B04_OP_01,ORD_004,ORD_004_B04,4,5,1,CUT,M_CUT_02,5,5,25,10,35,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B04_OP_02,ORD_004,ORD_004_B04,4,5,2,WELD,M_WELD_02,5,10,50,15,65,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B04_OP_03,ORD_004,ORD_004_B04,4,5,3,ASSY,M_ASSY_02,5,15,75,15,90,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_004_B04_OP_04,ORD_004,ORD_004_B04,4,5,4,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:20:00,2026-04-22 21:42:00,2026-04-22 21:42:00,False
ORD_005_B01_OP_01,ORD_005,ORD_005_B01,1,5,1,CUT,M_CUT_01,5,10,50,15,65,2026-04-20 08:50:00,2026-04-22 11:55:00,2026-04-22 11:55:00,False
ORD_005_B01_OP_02,ORD_005,ORD_005_B01,1,5,2,ASSY,M_ASSY_01,5,15,75,15,90,2026-04-20 08:50:00,2026-04-22 11:55:00,2026-04-22 11:55:00,False
ORD_005_B01_OP_03,ORD_005,ORD_005_B01,1,5,3,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 08:50:00,2026-04-22 11:55:00,2026-04-22 11:55:00,False
ORD_005_B02_OP_01,ORD_005,ORD_005_B02,2,3,1,CUT,M_CUT_01,3,10,30,15,45,2026-04-20 08:50:00,2026-04-22 11:55:00,2026-04-22 11:55:00,False
ORD_005_B02_OP_02,ORD_005,ORD_005_B02,2,3,2,ASSY,M_ASSY_01,3,15,45,15,60,2026-04-20 08:50:00,2026-04-22 11:55:00,2026-04-22 11:55:00,True
ORD_005_B02_OP_03,ORD_005,ORD_005_B02,2,3,3,PACK,M_PACK_01,3,5,15,0,15,2026-04-20 08:50:00,2026-04-22 11:55:00,2026-04-22 11:55:00,False
ORD_006_B01_OP_01,ORD_006,ORD_006_B01,1,5,1,CUT,M_CUT_02,5,5,25,10,35,2026-04-20 09:10:00,2026-04-22 02:17:00,2026-04-22 02:17:00,True
ORD_006_B01_OP_02,ORD_006,ORD_006_B01,1,5,2,ASSY,M_ASSY_02,5,15,75,15,90,2026-04-20 09:10:00,2026-04-22 02:17:00,2026-04-22 02:17:00,False
ORD_006_B01_OP_03,ORD_006,ORD_006_B01,1,5,3,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 09:10:00,2026-04-22 02:17:00,2026-04-22 02:17:00,False
ORD_006_B02_OP_01,ORD_006,ORD_006_B02,2,1,1,CUT,M_CUT_02,1,5,5,10,15,2026-04-20 09:10:00,2026-04-22 02:17:00,2026-04-22 02:17:00,False
ORD_006_B02_OP_02,ORD_006,ORD_006_B02,2,1,2,ASSY,M_ASSY_02,1,15,15,15,30,2026-04-20 09:10:00,2026-04-22 02:17:00,2026-04-22 02:17:00,False
ORD_006_B02_OP_03,ORD_006,ORD_006_B02,2,1,3,PACK,M_PACK_01,1,5,5,0,5,2026-04-20 09:10:00,2026-04-22 02:17:00,2026-04-22 02:17:00,False
ORD_007_B01_OP_01,ORD_007,ORD_007_B01,1,5,1,CUT,M_CUT_02,5,10,50,5,55,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B01_OP_02,ORD_007,ORD_007_B01,1,5,2,WELD,M_WELD_01,5,5,25,5,30,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B01_OP_03,ORD_007,ORD_007_B01,1,5,3,PAINT,M_PAINT_01,5,10,50,10,60,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B01_OP_04,ORD_007,ORD_007_B01,1,5,4,ASSY,M_ASSY_02,5,10,50,15,65,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B01_OP_05,ORD_007,ORD_007_B01,1,5,5,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B02_OP_01,ORD_007,ORD_007_B02,2,5,1,CUT,M_CUT_02,5,10,50,5,55,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B02_OP_02,ORD_007,ORD_007_B02,2,5,2,WELD,M_WELD_01,5,5,25,5,30,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B02_OP_03,ORD_007,ORD_007_B02,2,5,3,PAINT,M_PAINT_01,5,10,50,10,60,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B02_OP_04,ORD_007,ORD_007_B02,2,5,4,ASSY,M_ASSY_02,5,10,50,15,65,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B02_OP_05,ORD_007,ORD_007_B02,2,5,5,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B03_OP_01,ORD_007,ORD_007_B03,3,2,1,CUT,M_CUT_02,2,10,20,5,25,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B03_OP_02,ORD_007,ORD_007_B03,3,2,2,WELD,M_WELD_01,2,5,10,5,15,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B03_OP_03,ORD_007,ORD_007_B03,3,2,3,PAINT,M_PAINT_01,2,10,20,10,30,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B03_OP_04,ORD_007,ORD_007_B03,3,2,4,ASSY,M_ASSY_02,2,10,20,15,35,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_007_B03_OP_05,ORD_007,ORD_007_B03,3,2,5,PACK,M_PACK_01,2,5,10,0,10,2026-04-20 08:20:00,2026-04-22 17:05:00,2026-04-22 17:05:00,False
ORD_008_B01_OP_01,ORD_008,ORD_008_B01,1,5,1,CUT,M_CUT_01,5,10,50,10,60,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B01_OP_02,ORD_008,ORD_008_B01,1,5,2,WELD,M_WELD_02,5,5,25,10,35,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B01_OP_03,ORD_008,ORD_008_B01,1,5,3,PAINT,M_PAINT_01,5,5,25,20,45,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B01_OP_04,ORD_008,ORD_008_B01,1,5,4,ASSY,M_ASSY_01,5,15,75,15,90,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B01_OP_05,ORD_008,ORD_008_B01,1,5,5,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B02_OP_01,ORD_008,ORD_008_B02,2,5,1,CUT,M_CUT_01,5,10,50,10,60,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B02_OP_02,ORD_008,ORD_008_B02,2,5,2,WELD,M_WELD_02,5,5,25,10,35,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B02_OP_03,ORD_008,ORD_008_B02,2,5,3,PAINT,M_PAINT_01,5,5,25,20,45,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B02_OP_04,ORD_008,ORD_008_B02,2,5,4,ASSY,M_ASSY_01,5,15,75,15,90,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B02_OP_05,ORD_008,ORD_008_B02,2,5,5,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B03_OP_01,ORD_008,ORD_008_B03,3,2,1,CUT,M_CUT_01,2,10,20,10,30,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B03_OP_02,ORD_008,ORD_008_B03,3,2,2,WELD,M_WELD_02,2,5,10,10,20,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B03_OP_03,ORD_008,ORD_008_B03,3,2,3,PAINT,M_PAINT_01,2,5,10,20,30,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B03_OP_04,ORD_008,ORD_008_B03,3,2,4,ASSY,M_ASSY_01,2,15,30,15,45,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_008_B03_OP_05,ORD_008,ORD_008_B03,3,2,5,PACK,M_PACK_01,2,5,10,5,15,2026-04-20 08:00:00,2026-04-22 07:01:00,2026-04-22 07:01:00,False
ORD_009_B01_OP_01,ORD_009,ORD_009_B01,1,5,1,CUT,M_CUT_02,5,10,50,10,60,2026-04-20 08:25:00,2026-04-22 02:46:00,2026-04-22 02:46:00,True
ORD_009_B01_OP_02,ORD_009,ORD_009_B01,1,5,2,ASSY,M_ASSY_02,5,10,50,15,65,2026-04-20 08:25:00,2026-04-22 02:46:00,2026-04-22 02:46:00,False
ORD_009_B01_OP_03,ORD_009,ORD_009_B01,1,5,3,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 08:25:00,2026-04-22 02:46:00,2026-04-22 02:46:00,False
ORD_009_B02_OP_01,ORD_009,ORD_009_B02,2,1,1,CUT,M_CUT_02,1,10,10,10,20,2026-04-20 08:25:00,2026-04-22 02:46:00,2026-04-22 02:46:00,False
ORD_009_B02_OP_02,ORD_009,ORD_009_B02,2,1,2,ASSY,M_ASSY_02,1,10,10,15,25,2026-04-20 08:25:00,2026-04-22 02:46:00,2026-04-22 02:46:00,False
ORD_009_B02_OP_03,ORD_009,ORD_009_B02,2,1,3,PACK,M_PACK_01,1,5,5,0,5,2026-04-20 08:25:00,2026-04-22 02:46:00,2026-04-22 02:46:00,False
ORD_010_B01_OP_01,ORD_010,ORD_010_B01,1,5,1,CUT,M_CUT_01,5,10,50,5,55,2026-04-20 08:35:00,2026-04-21 17:36:00,2026-04-21 17:36:00,False
ORD_010_B01_OP_02,ORD_010,ORD_010_B01,1,5,2,ASSY,M_ASSY_02,5,5,25,5,30,2026-04-20 08:35:00,2026-04-21 17:36:00,2026-04-21 17:36:00,False
ORD_010_B01_OP_03,ORD_010,ORD_010_B01,1,5,3,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 08:35:00,2026-04-21 17:36:00,2026-04-21 17:36:00,False
ORD_010_B02_OP_01,ORD_010,ORD_010_B02,2,5,1,CUT,M_CUT_01,5,10,50,5,55,2026-04-20 08:35:00,2026-04-21 17:36:00,2026-04-21 17:36:00,False
ORD_010_B02_OP_02,ORD_010,ORD_010_B02,2,5,2,ASSY,M_ASSY_02,5,5,25,5,30,2026-04-20 08:35:00,2026-04-21 17:36:00,2026-04-21 17:36:00,False
ORD_010_B02_OP_03,ORD_010,ORD_010_B02,2,5,3,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 08:35:00,2026-04-21 17:36:00,2026-04-21 17:36:00,False
ORD_011_B01_OP_01,ORD_011,ORD_011_B01,1,5,1,CUT,M_CUT_01,5,10,50,5,55,2026-04-20 09:10:00,2026-04-22 03:57:00,2026-04-22 03:57:00,True
ORD_011_B01_OP_02,ORD_011,ORD_011_B01,1,5,2,WELD,M_WELD_02,5,10,50,15,65,2026-04-20 09:10:00,2026-04-22 03:57:00,2026-04-22 03:57:00,False
ORD_011_B01_OP_03,ORD_011,ORD_011_B01,1,5,3,ASSY,M_ASSY_02,5,10,50,10,60,2026-04-20 09:10:00,2026-04-22 03:57:00,2026-04-22 03:57:00,False
ORD_011_B01_OP_04,ORD_011,ORD_011_B01,1,5,4,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 09:10:00,2026-04-22 03:57:00,2026-04-22 03:57:00,False
ORD_011_B02_OP_01,ORD_011,ORD_011_B02,2,5,1,CUT,M_CUT_01,5,10,50,5,55,2026-04-20 09:10:00,2026-04-22 03:57:00,2026-04-22 03:57:00,False
ORD_011_B02_OP_02,ORD_011,ORD_011_B02,2,5,2,WELD,M_WELD_02,5,10,50,15,65,2026-04-20 09:10:00,2026-04-22 03:57:00,2026-04-22 03:57:00,False
ORD_011_B02_OP_03,ORD_011,ORD_011_B02,2,5,3,ASSY,M_ASSY_02,5,10,50,10,60,2026-04-20 09:10:00,2026-04-22 03:57:00,2026-04-22 03:57:00,False
ORD_011_B02_OP_04,ORD_011,ORD_011_B02,2,5,4,PACK,M_PACK_01,5,5,25,0,25,2026-04-20 09:10:00,2026-04-22 03:57:00,2026-04-22 03:57:00,False
ORD_012_B01_OP_01,ORD_012,ORD_012_B01,1,5,1,CUT,M_CUT_01,5,10,50,5,55,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B01_OP_02,ORD_012,ORD_012_B01,1,5,2,ASSY,M_ASSY_01,5,10,50,15,65,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B01_OP_03,ORD_012,ORD_012_B01,1,5,3,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B02_OP_01,ORD_012,ORD_012_B02,2,5,1,CUT,M_CUT_01,5,10,50,5,55,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B02_OP_02,ORD_012,ORD_012_B02,2,5,2,ASSY,M_ASSY_01,5,10,50,15,65,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B02_OP_03,ORD_012,ORD_012_B02,2,5,3,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B03_OP_01,ORD_012,ORD_012_B03,3,5,1,CUT,M_CUT_01,5,10,50,5,55,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B03_OP_02,ORD_012,ORD_012_B03,3,5,2,ASSY,M_ASSY_01,5,10,50,15,65,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B03_OP_03,ORD_012,ORD_012_B03,3,5,3,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B04_OP_01,ORD_012,ORD_012_B04,4,5,1,CUT,M_CUT_01,5,10,50,5,55,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B04_OP_02,ORD_012,ORD_012_B04,4,5,2,ASSY,M_ASSY_01,5,10,50,15,65,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_012_B04_OP_03,ORD_012,ORD_012_B04,4,5,3,PACK,M_PACK_01,5,5,25,5,30,2026-04-20 08:00:00,2026-04-22 07:36:00,2026-04-22 07:36:00,False
ORD_013_B01_OP_01,ORD_013,ORD_013_B01,1,5,1,WELD,M_WELD_02,5,10,50,15,65,2026-04-20 09:00:00,2026-04-22 06:59:00,2026-04-22 06:59:00,True
ORD_013_B01_OP_02,ORD_013,ORD_013_B01,1,5,2,PAINT,M_PAINT_01,5,10,50,20,70,2026-04-20 09:00:00,2026-04-22 06:59:00,2026-04-22 06:59:00,False
ORD_013_B01_OP_03,ORD_013,ORD_013_B01,1,5,3,ASSY,M_ASSY_01,5,10,50,5,55,2026-04-20 09:00:00,2026-04-22 06:59:00,2026-04-22 06:59:00,True
ORD_013_B02_OP_01,ORD_013,ORD_013_B02,2,5,1,WELD,M_WELD_02,5,10,50,15,65,2026-04-20 09:00:00,2026-04-22 06:59:00,2026-04-22 06:59:00,False
